rank,Team,Pts,GF,GA,GD
1,Man City,89,94,33,61
2,Arsenal,84,88,43,45
3,Man United,75,58,43,15
4,Newcastle,71,68,33,35
5,Liverpool,67,75,47,28
6,Brighton,62,72,53,19
7,Aston Villa,61,51,46,5
8,Tottenham,60,70,63,7
9,Brentford,59,58,46,12
10,Fulham,52,55,53,2
11,Crystal Palace,45,40,49,-9
12,Chelsea,44,38,47,-9
13,Wolves,41,31,58,-27
14,West Ham,40,42,55,-13
15,Bournemouth,39,37,71,-34
16,Nott'm Forest,38,38,68,-30
17,Everton,36,34,57,-23
18,Leicester,34,51,68,-17
19,Leeds,31,48,78,-30
20,Southampton,25,36,73,-37
